"","obsHalfHour","eecaCircuit","year","season","davgW"
"387",01:30:00,"Lighting",2015,"Summer",22.0122044252044
"388",01:30:00,"Lighting",2015,"Winter",34.185225788123
"389",01:30:00,"Lighting",2016,"Autumn",29.1051268072332
"390",01:30:00,"Lighting",2016,"Spring",39.7311217586755
"391",01:30:00,"Lighting",2016,"Summer",28.4285821416365
"392",01:30:00,"Lighting",2016,"Winter",35.8190069474488
"393",01:30:00,"Lighting",2017,"Autumn",35.7067793293436
"394",01:30:00,"Lighting",2017,"Spring",30.635299129993
"395",01:30:00,"Lighting",2017,"Summer",22.6465737947353
"396",01:30:00,"Lighting",2017,"Winter",37.7800370009737
"397",01:30:00,"Lighting",2018,"Autumn",30.9883892768806
"398",01:30:00,"Lighting",2018,"Summer",9.33497007654837
"399",01:30:00,"Lighting",2018,"Winter",49.712571855854
"400",01:30:00,"Oven",2014,"Autumn",1.51494501718213
"401",01:30:00,"Oven",2014,"Spring",8.62429890326037
"402",01:30:00,"Oven",2014,"Summer",14.2231646090535
"403",01:30:00,"Oven",2014,"Winter",9.24947917473848
"404",01:30:00,"Oven",2015,"Autumn",7.19194623370383
"405",01:30:00,"Oven",2015,"Spring",1.17723744882568
"406",01:30:00,"Oven",2015,"Summer",8.14083297022512
"407",01:30:00,"Oven",2015,"Winter",1.47727333716695
"408",01:30:00,"Oven",2016,"Autumn",0.000351732377538829
"409",01:30:00,"Oven",2016,"Spring",0.150562785388128
"410",01:30:00,"Oven",2016,"Summer",2.51952632905014e-05
"411",01:30:00,"Oven",2016,"Winter",0.0236052836052836
"412",01:30:00,"Oven",2017,"Autumn",0
"413",01:30:00,"Oven",2017,"Spring",0.828389416983524
"414",01:30:00,"Oven",2017,"Summer",0.720461225766104
"415",01:30:00,"Oven",2017,"Winter",0.172202596618357
"416",01:30:00,"Oven",2018,"Autumn",3.15940094511087
"417",01:30:00,"Oven",2018,"Summer",0.0862370110916522
"418",01:30:00,"Oven",2018,"Winter",5.80063793103448
"419",01:30:00,"Total",2014,"Autumn",568.131397849462
"420",01:30:00,"Total",2014,"Spring",446.593876115433
"421",01:30:00,"Total",2014,"Summer",406.663240336275
"422",01:30:00,"Total",2014,"Winter",668.518887765704
"423",01:30:00,"Total",2015,"Autumn",453.850172353725
"424",01:30:00,"Total",2015,"Spring",471.241908141282
"425",01:30:00,"Total",2015,"Summer",351.560131522224
"426",01:30:00,"Total",2015,"Winter",636.86353863756
"427",01:30:00,"Total",2016,"Autumn",425.928450159552
"428",01:30:00,"Total",2016,"Spring",500.29964605272
"429",01:30:00,"Total",2016,"Summer",449.656442183396
"430",01:30:00,"Total",2016,"Winter",559.66648298807
"431",01:30:00,"Total",2017,"Autumn",494.075508400423
"432",01:30:00,"Total",2017,"Spring",510.338967169064
"433",01:30:00,"Total",2017,"Summer",511.410512083016
"434",01:30:00,"Total",2017,"Winter",631.255219630497
"435",01:30:00,"Total",2018,"Autumn",531.144788229143
"436",01:30:00,"Total",2018,"Summer",472.990896105206
"437",01:30:00,"Total",2018,"Winter",823.471986754926
"438",01:30:00,"XX_Other",2014,"Autumn",238.69727766323
"439",01:30:00,"XX_Other",2014,"Spring",143.211776532472
"440",01:30:00,"XX_Other",2014,"Summer",123.613977568239
